20,80.857142857142847
100,93.238095238095241
100,94.380952380952394
100,98.666666666666671
20,73.80952380952381
20,77.904761904761912
20,80.761904761904759
100,90.19047619047619
100,94.285714285714278
100,94.476190476190482
100,93.047619047619037
20,75.333333333333329
100,94.380952380952394
100,95.904761904761898
100,94.380952380952394
100,97.333333333333343
100,97.238095238095241
20,81.809523809523796
20,83.142857142857153
